id,idioms,ABnn,AnBn,AnnB,nABn,nAnB,nnAB,PTT_WomenTalk,China_text,Apple_text,PTT_Hate,PTT_Gossiping,PTT_AllTogether,pooled
30,七橫八豎,0,0,0,0,1,0,0,33,14,0,0,0,47
59,朝四暮三,0,1,0,0,0,0,0,28,18,0,1,0,47
82,三皇五帝,0,0,0,0,1,0,0,28,12,0,7,0,47
607,十三太保,0,0,0,0,0,1,0,30,0,0,17,0,47
78,千難萬難,0,0,0,0,1,0,1,45,0,0,0,0,46
340,千秋萬歲,0,0,0,0,1,0,0,44,0,0,1,0,45
646,一舉二得,0,0,0,0,1,0,2,11,26,1,4,0,44
110,一心一德,0,0,0,0,1,0,0,40,3,0,1,0,44
460,千依百順,0,0,0,0,1,0,1,8,31,0,1,0,41
164,說一是一,0,1,0,0,0,0,1,30,6,0,3,0,40
949,一字一淚,0,0,0,0,1,0,0,28,11,0,0,0,39
279,百萬雄兵,0,0,0,0,0,1,0,31,4,0,0,0,35
26,萬世一系,0,0,0,0,1,0,2,23,6,0,4,0,35
865,千山萬壑,0,0,0,0,1,0,0,34,0,0,0,0,34
960,一粥一飯,0,0,0,0,1,0,0,33,0,0,0,0,33
784,三十三天,0,0,1,0,1,1,1,5,25,0,0,1,32
615,烏七八糟,0,0,1,0,0,0,0,14,16,0,1,0,31
727,千秋萬代,0,0,0,0,1,0,0,15,10,0,1,0,26
626,一來二去,0,0,0,0,1,0,1,25,0,0,0,0,26
466,一男半女,0,0,0,0,1,0,0,6,19,0,0,0,25
152,三宮六院,0,0,0,0,1,0,1,21,0,0,2,0,24
421,三男四女,0,0,0,0,1,0,2,12,8,0,0,2,24
222,一張一弛,0,0,0,0,1,0,0,21,0,0,0,0,21
693,一曝十寒,0,0,0,0,1,0,0,20,0,0,0,0,20
604,丟三忘四,0,1,0,0,0,0,0,7,12,0,0,0,19
787,千巖萬壑,0,0,0,0,1,0,0,19,0,0,0,0,19
790,一目十行,0,0,0,0,1,0,0,12,2,0,5,0,19
952,一悲一喜,0,0,0,0,1,0,0,6,12,0,0,0,18
38,半明半暗,0,0,0,0,1,0,0,17,1,0,0,0,18
169,一以當十,0,0,0,1,0,0,0,18,0,0,0,0,18
545,六韜三略,0,0,0,0,1,0,0,17,0,0,0,0,17
783,一碧萬頃,0,0,0,0,1,0,0,17,0,0,0,0,17
68,一星半點,0,0,0,0,1,0,0,16,0,0,0,0,16
324,一擲百萬,1,0,0,1,1,0,0,4,12,0,0,0,16
794,三起三落,0,0,0,0,1,0,0,8,5,0,2,0,15
282,萬馬千軍,0,0,0,0,1,0,0,11,4,0,0,0,15
847,四時八節,0,0,0,0,1,0,0,14,0,0,0,0,14
137,一瘸一拐,0,0,0,0,1,0,0,6,7,0,1,0,14
333,一唱三歎,0,0,0,0,1,0,0,14,0,0,0,0,14
487,半開半掩,0,0,0,0,1,0,0,13,1,0,0,0,14
227,七張八嘴,0,0,0,0,1,0,0,14,0,0,0,0,14
384,橫七八豎,0,0,1,0,0,0,0,14,0,0,0,0,14
527,三三五五,1,1,1,1,1,1,0,12,0,0,1,0,13
228,萬語千言,0,0,0,0,1,0,0,7,6,0,0,0,13
105,三多九如,0,0,0,0,1,0,0,13,0,0,0,0,13
554,七子八婿,0,0,0,0,1,0,0,13,0,0,0,0,13
